Poseidon, poseidon, https://www.trackico.io/ico/poseidon/, Upcoming, Charity, 3.9, null, null, 2018-05-12T00:00:00Z, 2018-06-12T00:00:00Z
Bytom, bytom, https://www.trackico.io/ico/bytom/, Trading, Software, 2.8, null, null, null, null
CryptoPing, cryptoping, https://www.trackico.io/ico/cryptoping/, Trading, Software, 2.0, null, null, 2017-05-25T03:20:02Z, 2017-06-25T03:20:02Z
Digmus, digmus, https://www.trackico.io/ico/digmus/, Unknown, Cryptocurrency, 2.8, null, null, null, null
Confideal, confideal, https://www.trackico.io/ico/confideal/, Ongoing, Software, 4.3, null, null, 2018-03-01T00:00:00Z, 2018-05-30T00:00:00Z
CommerceBlock, commerceblock, https://www.trackico.io/ico/commerceblock/, Closed, Business, 4.8, null, null, 2017-11-28T18:00:00Z, 2017-12-06T00:00:00Z
Bazista, bazista, https://www.trackico.io/ico/bazista/, Closed, Cryptocurrency, 4.1, null, null, 2018-01-08T00:00:00Z, 2018-03-02T00:00:00Z
CryptoCopy, cryptocopy, https://www.trackico.io/ico/cryptocopy/, Unknown, Platform, 3.3, null, null, null, null
HealPoint, healpoint, https://www.trackico.io/ico/healpoint/, Unknown, Health & Medicine, 2.6, null, null, null, null
Affchain, affchain, https://www.trackico.io/ico/affchain/, Unknown, Business, 2.2, null, null, null, null
SGA Consulting, sga-consulting, https://www.trackico.io/ico/sga-consulting/, Unknown, Cryptocurrency, 2.8, null, null, null, null
WYRIFY, wyrify, https://www.trackico.io/ico/wyrify/, Unknown, Platform, 3.1, null, null, null, null
Gladius, gladius, https://www.trackico.io/ico/gladius/, Trading, Business, 4.6, null, null, 2017-11-24T00:00:00Z, 2017-12-31T00:00:00Z
Decentralized Escrow, decentralized-escrow, https://www.trackico.io/ico/decentralized-escrow/, Closed, Software, 3.9, null, null, 2017-11-29T12:00:00Z, 2018-01-27T11:59:00Z
GameCoin, gamecoin, https://www.trackico.io/ico/gamecoin/, Closed, Platform, 3.0, null, null, 2017-09-11T12:00:00Z, 2017-09-29T12:00:00Z
Dimensions Network, dimensions-network, https://www.trackico.io/ico/dimensions-network/, Closed, Cryptocurrency, 4.4, null, null, 2018-01-24T06:00:00Z, 2018-02-24T06:00:00Z
Stayawhile, stayawhile, https://www.trackico.io/ico/stayawhile/, Closed, Real Estate, 4.6, null, null, 2017-11-09T00:00:00Z, 2017-12-11T00:00:00Z
World Turtle Coin, world-turtle-coin, https://www.trackico.io/ico/world-turtle-coin/, Unknown, Platform, 2.4, null, null, null, null
Alttradex, alttradex, https://www.trackico.io/ico/alttradex/, Unknown, Trading, 3.1, null, null, null, null
Investy, investy, https://www.trackico.io/ico/investy/, Closed, Trading, 5.0, null, null, 2017-11-24T00:00:00Z, 2017-12-23T00:00:00Z
X8 Currency, x8-currency, https://www.trackico.io/ico/x8-currency/, Closed, Cryptocurrency, 4.8, null, null, 2017-12-19T00:00:00Z, 2018-01-19T00:00:00Z
FidentiaX, fidentiax, https://www.trackico.io/ico/fidentiax/, Trading, Platform, 4.6, null, null, 2017-11-06T00:00:00Z, 2017-12-05T00:00:00Z
Pitis Coin, pitis-coin, https://www.trackico.io/ico/pitis-coin/, Unknown, Cryptocurrency, 2.2, null, null, null, null
BitBounce, bitbounce, https://www.trackico.io/ico/bitbounce/, Unknown, Internet, 2.8, null, null, null, null
BMChain, bmchain, https://www.trackico.io/ico/bmchain/, Unknown, Other, 1.9, null, null, null, null
Hextracoin, hextracoin, https://www.trackico.io/ico/hextracoin/, Unknown, Platform, 2.0, null, null, null, null
RadioYo, radioyo, https://www.trackico.io/ico/radioyo/, Ongoing, Platform, 3.3, null, null, 2018-03-01T00:00:00Z, 2018-05-02T00:00:00Z
Hellenium, hellenium, https://www.trackico.io/ico/hellenium/, Closed, Platform, 3.5, null, null, 2017-10-21T00:00:00Z, 2017-12-31T00:00:00Z
PlexCoin, plexcoin, https://www.trackico.io/ico/plexcoin/, Closed, Finance, 2.2, null, null, 2017-10-31T00:00:00Z, 2017-11-30T00:00:00Z
Etheroll, etheroll, https://www.trackico.io/ico/etheroll/, Trading, Games & Entertainment, 2.0, null, null, 2017-02-13T12:00:00Z, 2017-02-27T12:00:00Z
LaLa World, lala-world, https://www.trackico.io/ico/lala-world/, Trading, Software, 4.4, null, null, 2018-01-05T12:00:00Z, 2018-02-05T12:00:00Z
WiC, wic, https://www.trackico.io/ico/wic/, Trading, Internet, 2.2, null, null, null, null
Eagle Project, eagle-project, https://www.trackico.io/ico/eagle-project/, Trading, Platform, 3.0, null, null, null, null
ZEUS, zeus, https://www.trackico.io/ico/zeus/, Unknown, Cryptocurrency, 2.8, null, null, null, null
DLS Academy, dls-academy, https://www.trackico.io/ico/dls-academy/, Unknown, Study, 2.4, null, null, null, null
Charg, charg, https://www.trackico.io/ico/charg/, Closed, Platform, 4.4, null, null, 2017-11-15T00:00:00Z, 2017-12-31T00:00:00Z
Peculium, peculium, https://www.trackico.io/ico/peculium/, Trading, Software, 4.8, null, null, 2017-12-17T00:00:00Z, 2018-01-24T00:00:00Z
AKM GLOBAL, akm-global, https://www.trackico.io/ico/akm-global/, Ongoing, Trading, 3.7, null, null, 2017-09-30T12:00:00Z, 2018-05-10T00:00:00Z
Dopamine, dopamine, https://www.trackico.io/ico/dopamine/, Closed, Platform, 3.5, null, null, 2018-01-17T00:00:00Z, 2018-01-31T23:00:00Z
SoyCoin, soycoin, https://www.trackico.io/ico/soycoin/, Unknown, Business, 1.7, null, null, null, null
Izibits, izibits, https://www.trackico.io/ico/izibits/, Unknown, Connectivity, 2.4, null, null, null, null
DeckSwap, deckswap, https://www.trackico.io/ico/deckswap/, Unknown, Platform, 2.8, null, null, null, null
BitBoost, bitboost, https://www.trackico.io/ico/bitboost/, Trading, Trading, 3.3, null, null, null, null
Astronaut, astronaut, https://www.trackico.io/ico/astronaut/, Trading, Trading, 2.8, null, null, null, null
Forty Seven Bank, forty-seven-bank, https://www.trackico.io/ico/forty-seven-bank/, Closed, Finances, 4.6, null, null, 2017-12-16T00:00:00Z, 2018-03-31T00:00:00Z
Bitcoin ATM Project, bitcoin-atm-project, https://www.trackico.io/ico/bitcoin-atm-project/, Closed, Finance, 4.1, null, null, 2017-11-01T00:00:00Z, 2017-11-30T00:00:00Z
Inspeer, inspeer, https://www.trackico.io/ico/inspeer/, Closed, Finances, 3.7, null, null, 2017-12-11T00:00:00Z, 2018-02-05T23:00:00Z
CryptoForecast, cryptoforecast, https://www.trackico.io/ico/cryptoforecast/, Trading, Software, 1.9, null, null, null, null
VanillaPlay, vanillaplay, https://www.trackico.io/ico/vanillaplay/, Unknown, Games & Entertainment, 2.4, null, null, null, null
W3coins, w3coins, https://www.trackico.io/ico/w3coins/, Unknown, Cryptocurrency, 1.7, null, null, null, null
BITLAB, bitlab, https://www.trackico.io/ico/bitlab/, Unknown, Cryptocurrency, 2.4, null, null, null, null
Altocar, altocar, https://www.trackico.io/ico/altocar/, Closed, Other, 3.1, null, null, 2017-10-10T12:00:00Z, 2017-11-10T12:00:00Z
TrafficX, trafficx, https://www.trackico.io/ico/trafficx/, Closed, Platform, 2.4, null, null, 2017-09-13T12:00:00Z, 2017-10-14T12:00:00Z
Evareium, evareium, https://www.trackico.io/ico/evareium/, Ongoing, Real Estate, 4.1, 2018-02-01T17:00:00Z, 2018-02-28T23:59:00Z, 2018-03-01T17:00:00Z, 2018-06-30T23:59:00Z
Blockbid, blockbid, https://www.trackico.io/ico/blockbid/, Closed, Platform, 4.1, null, null, 2017-10-21T21:00:00Z, 2017-12-15T21:00:00Z
BCDiploma, bcdiploma, https://www.trackico.io/ico/bcdiploma/, Closed, Study, 4.4, null, null, 2017-12-21T12:00:00Z, 2018-01-18T12:00:00Z
Carblox, carblox, https://www.trackico.io/ico/carblox/, Unknown, Other, 3.1, null, null, null, null
iDice, idice, https://www.trackico.io/ico/idice/, Trading, Games & Entertainment, 1.3, null, null, 2017-06-12T00:00:00Z, 2017-06-26T00:00:00Z
Brisk Pass, brisk-pass, https://www.trackico.io/ico/brisk-pass/, Closed, Transport, 3.3, null, null, 2017-11-11T00:00:00Z, 2017-11-15T11:00:00Z
BeeSocials, beesocials, https://www.trackico.io/ico/beesocials/, Unknown, Platform, 3.9, null, null, null, null
Fiinu, fiinu, https://www.trackico.io/ico/fiinu/, Closed, Cryptocurrency, 3.7, null, null, 2017-10-09T12:00:00Z, 2017-12-09T12:00:00Z
Mega X, mega-x, https://www.trackico.io/ico/mega-x/, Unknown, Trading, 3.5, null, null, null, null
TravelCoin, travelcoin, https://www.trackico.io/ico/travelcoin/, Closed, Travel, 3.5, null, null, 2017-07-05T03:00:00Z, 2017-08-15T03:00:00Z
Arbi, arbi, https://www.trackico.io/ico/arbi/, Unknown, Business, 2.6, null, null, null, null
ZILLA, zilla, https://www.trackico.io/ico/zilla/, Trading, Platform, 4.3, null, null, 2017-11-30T12:00:00Z, 2017-12-30T12:00:00Z
Anacoin, anacoin, https://www.trackico.io/ico/anacoin/, Unknown, Charity, 3.7, null, null, null, null
SAAVcoin, saavcoin, https://www.trackico.io/ico/saavcoin/, Unknown, Games & Entertainment, 2.8, null, null, null, null
Kiking off movie, kiking-off-movie, https://www.trackico.io/ico/kiking-off-movie/, Closed, Other, 2.6, null, null, 2017-10-03T12:00:00Z, 2018-02-03T12:00:00Z
CryptoSoft, cryptosoft, https://www.trackico.io/ico/cryptosoft/, Unknown, Cryptocurrency, 2.8, null, null, null, null
BitBase, bitbase, https://www.trackico.io/ico/bitbase/, Trading, Cryptocurrency, 2.8, null, null, null, null
Webcoin, webcoin, https://www.trackico.io/ico/webcoin/, Pre-Sale, Platform, 5.0, 2018-04-14T00:00:00Z, 2018-06-30T00:00:00Z, 2018-07-01T00:00:00Z, 2018-08-01T00:00:00Z
Ankorus, ankorus, https://www.trackico.io/ico/ankorus/, Closed, Business, 3.5, null, null, 2017-11-25T00:00:00Z, 2017-12-25T23:00:00Z
Multibot, multibot, https://www.trackico.io/ico/multibot/, Unknown, Business, 3.5, null, null, null, null
U.CASH, ucash, https://www.trackico.io/ico/ucash/, Trading, Finances, 2.2, null, null, null, null
adToken, adtoken, https://www.trackico.io/ico/adtoken/, Trading, Platform, 2.2, null, null, null, null
BRAT, brat, https://www.trackico.io/ico/brat/, Unknown, Cryptocurrency, 2.2, null, null, null, null
Fundaria, fundaria, https://www.trackico.io/ico/fundaria/, Unknown, Platform, 2.8, null, null, null, null
Cypher, cypher, https://www.trackico.io/ico/cypher/, Unknown, Cryptocurrency, 1.7, null, null, null, null
ZenGold, zengold, https://www.trackico.io/ico/zengold/, Trading, Platform, 1.3, null, null, null, null
Ethernal Heroes, ethernal-heroes, https://www.trackico.io/ico/ethernal-heroes/, Unknown, Games & Entertainment, 3.3, null, null, null, null
Zempa, zempa, https://www.trackico.io/ico/zempa/, Unknown, Cryptocurrency, 2.8, null, null, null, null
Circles, circles, https://www.trackico.io/ico/circles/, Unknown, Platform, 2.2, null, null, null, null
Experimental, experimental, https://www.trackico.io/ico/experimental/, Unknown, Platform, 2.8, null, null, null, null
OriginTrail, origintrail, https://www.trackico.io/ico/origintrail/, Trading, Platform, 5.0, 2018-01-15T00:00:00Z, 2018-01-28T00:00:00Z, null, null
Darcrus, darcrus, https://www.trackico.io/ico/darcrus/, Trading, Platform, 2.8, null, null, null, null
HOQU, hoqu, https://www.trackico.io/ico/hoqu/, Trading, Platform, 5.0, 2017-11-13T00:00:00Z, 2017-11-20T00:00:00Z, 2017-11-27T00:00:00Z, 2018-02-26T00:00:00Z
ShineCoin, shinecoin, https://www.trackico.io/ico/shinecoin/, Unknown, Games & Entertainment, 2.6, null, null, null, null
indaHash, indahash, https://www.trackico.io/ico/indahash/, Trading, Platform, 4.6, null, null, 2017-11-29T15:00:00Z, 2017-12-20T15:00:00Z
Artemine, artemine, https://www.trackico.io/ico/artemine/, Unknown, Cryptocurrency, 2.0, null, null, null, null
Cryptex Network, cryptex-network, https://www.trackico.io/ico/cryptex-network/, Unknown, Software, 1.7, null, null, null, null
BitConscious Foundation, bitconscious-foundation, https://www.trackico.io/ico/bitconscious-foundation/, Unknown, Charity, 2.6, null, null, null, null
CPROP, cprop, https://www.trackico.io/ico/cprop/, Pre-Sale, Platform, 3.0, 2018-04-30T00:00:00Z, 2018-05-10T00:00:00Z, 2018-05-21T00:00:00Z, 2018-06-10T00:00:00Z
kevin., kevin, https://www.trackico.io/ico/kevin/, Closed, Finances, 3.1, null, null, 2017-10-17T09:00:00Z, 2017-12-22T09:00:00Z
ABR, abr, https://www.trackico.io/ico/abr/, Unknown, Production, 3.0, null, null, null, null
Sparc, sparc, https://www.trackico.io/ico/sparc/, Closed, Games & Entertainment, 4.1, null, null, 2017-10-01T12:00:00Z, 2017-10-20T12:00:00Z
Easyfast, easyfast, https://www.trackico.io/ico/easyfast/, Unknown, Business, 2.0, null, null, null, null
Dopameme, dopameme, https://www.trackico.io/ico/dopameme/, Ongoing, Games & Entertainment, 3.7, null, null, 2018-03-17T00:00:00Z, 2018-05-12T00:00:00Z
Freedom Streaming, freedom-streaming, https://www.trackico.io/ico/freedom-streaming/, Unknown, Platform, 2.4, null, null, null, null
folio.ninja, folioninja, https://www.trackico.io/ico/folioninja/, Unknown, Business, 2.2, null, null, null, null
Droplex, droplex, https://www.trackico.io/ico/droplex/, Unknown, Cryptocurrency, 2.6, null, null, null, null
Imperium, imperium, https://www.trackico.io/ico/imperium/, Closed, Games & Entertainment, 1.1, null, null, 2017-08-20T18:00:00Z, 2017-08-27T18:00:00Z
BlockMason, blockmason, https://www.trackico.io/ico/blockmason/, Trading, Finances, 3.7, null, null, null, null
WorldCore, worldcore, https://www.trackico.io/ico/worldcore/, Trading, Platform, 3.9, null, null, 2017-10-14T12:00:00Z, 2017-12-15T12:00:00Z
Solidified, solidified, https://www.trackico.io/ico/solidified/, Unknown, Platform, 3.0, null, null, null, null
YohoCube, yohocube, https://www.trackico.io/ico/yohocube/, Unknown, Trading, 2.4, null, null, null, null
eTardis, etardis, https://www.trackico.io/ico/etardis/, Unknown, Business, 2.8, null, null, null, null
ccore, ccore, https://www.trackico.io/ico/ccore/, Trading, Business, 3.5, null, null, null, null
Tettix, tettix, https://www.trackico.io/ico/tettix/, Unknown, Business, 1.9, null, null, null, null
Boosteroid, boosteroid, https://www.trackico.io/ico/boosteroid/, Closed, Business, 5.0, null, null, 2018-01-15T00:00:00Z, 2018-02-15T00:00:00Z
Statercoin, statercoin, https://www.trackico.io/ico/statercoin/, Closed, Platform, 3.7, null, null, 2017-10-14T00:00:00Z, 2017-11-14T00:00:00Z
PingPong, pingpong, https://www.trackico.io/ico/pingpong/, Unknown, Connectivity, 2.4, null, null, null, null
T8Coin, t8coin, https://www.trackico.io/ico/t8coin/, Unknown, Platform, 2.2, null, null, null, null
RUSTBITS, rustbits, https://www.trackico.io/ico/rustbits/, Trading, Games & Entertainment, 3.1, null, null, 2017-06-27T12:00:00Z, 2017-07-31T12:00:00Z
reOrder, reorder, https://www.trackico.io/ico/reorder/, Unknown, Trading, 2.2, null, null, null, null
Atmatrix, atmatrix, https://www.trackico.io/ico/atmatrix/, Unknown, Platform, 1.7, null, null, null, null
Arcade City, arcade-city, https://www.trackico.io/ico/arcade-city/, Trading, Platform, 2.4, null, null, null, null
Sinergia Blockchain, sinergia-blockchain, https://www.trackico.io/ico/sinergia-blockchain/, Unknown, Study, 3.1, null, null, null, null
ETH Lottery, eth-lottery, https://www.trackico.io/ico/eth-lottery/, Unknown, Games & Entertainment, 2.2, null, null, null, null
TradeX, tradex, https://www.trackico.io/ico/tradex/, Unknown, Trading, 3.0, null, null, null, null
Kapu, kapu, https://www.trackico.io/ico/kapu/, Unknown, Platform, 3.0, null, null, null, null
Battle Ball, battle-ball, https://www.trackico.io/ico/battle-ball/, Unknown, Fitness, 1.7, null, null, null, null
Loopring, loopring, https://www.trackico.io/ico/loopring/, Trading, Platform, 2.4, null, null, null, null
CrazyBET, crazybet, https://www.trackico.io/ico/crazybet/, Unknown, Games & Entertainment, 2.2, null, null, null, null
EcoGreenHouse, ecogreenhouse, https://www.trackico.io/ico/ecogreenhouse/, Closed, Other, 3.5, 2017-10-06T12:00:00Z, 2017-10-13T12:00:00Z, 2017-10-06T12:00:00Z, 2017-10-13T12:00:00Z
Viewly, viewly, https://www.trackico.io/ico/viewly/, Closed, Games & Entertainment, 4.3, null, null, 2018-02-22T00:00:00Z, 2018-03-22T23:00:00Z
sexService.io, sexserviceio, https://www.trackico.io/ico/sexserviceio/, Unknown, Games & Entertainment, 2.4, null, null, null, null
Cybermiles, cybermiles, https://www.trackico.io/ico/cybermiles/, Trading, Platform, 3.5, null, null, 2017-11-21T16:00:00Z, 2017-12-05T16:00:00Z
Mavin, mavin, https://www.trackico.io/ico/mavin/, Ongoing, Platform, 4.6, null, null, 2018-02-12T00:00:00Z, 2018-09-15T00:00:00Z
Bibox, bibox, https://www.trackico.io/ico/bibox/, Trading, Platform, 3.5, null, null, 2017-10-01T22:00:00Z, 2017-10-31T22:00:00Z
DropDeck, dropdeck, https://www.trackico.io/ico/dropdeck/, Closed, Finance, 4.6, null, null, 2017-11-21T00:00:00Z, 2017-12-21T00:00:00Z
Genaro, genaro, https://www.trackico.io/ico/genaro/, Trading, Cryptocurrency, 3.7, null, null, 2017-11-17T00:00:00Z, 2017-12-08T18:16:05Z
HealthHeart, healthheart, https://www.trackico.io/ico/healthheart/, Closed, Health & Medicine, 5.0, 2017-10-22T06:00:00Z, 2017-11-30T06:00:00Z, 2017-12-01T06:00:00Z, 2017-12-31T06:00:00Z
Totum, totum, https://www.trackico.io/ico/totum/, Closed, Platform, 0.0, null, null, 2017-12-15T00:00:00Z, 2018-01-31T00:00:00Z
Vitavisor, vitavisor, https://www.trackico.io/ico/vitavisor/, Closed, Platform, 3.1, null, null, 2017-10-24T18:00:00Z, 2017-10-31T18:00:00Z
BitDegree, bitdegree, https://www.trackico.io/ico/bitdegree/, Trading, Study, 4.8, null, null, 2017-12-01T00:00:00Z, 2017-12-31T00:00:00Z
Ice Rock Mining, ice-rock-mining, https://www.trackico.io/ico/ice-rock-mining/, Ongoing, Cryptocurrency, 4.4, 2018-01-20T00:00:00Z, 2018-02-10T00:00:00Z, 2018-02-20T00:00:00Z, 2018-05-25T00:00:00Z
Trive, trive, https://www.trackico.io/ico/trive/, Closed, Other, 3.3, null, null, 2017-10-16T00:00:00Z, 2017-11-30T00:00:00Z
Darenta, darenta, https://www.trackico.io/ico/darenta/, Closed, Other, 4.4, 2017-11-15T12:00:00Z, 2017-12-31T00:00:00Z, 2017-12-31T00:00:00Z, 2018-03-31T00:00:00Z
Hamster Marketplace, hamster-marketplace, https://www.trackico.io/ico/hamster-marketplace/, Closed, Trading, 3.5, null, null, 2018-02-19T00:00:00Z, 2018-03-19T00:00:00Z
Aterious, aterious, https://www.trackico.io/ico/aterious/, Unknown, Other, 1.7, null, null, null, null
Exxor, exxor, https://www.trackico.io/ico/exxor/, Closed, Other, 1.7, null, null, 2017-10-30T11:00:00Z, 2017-12-30T11:00:00Z
Cryder, cryder, https://www.trackico.io/ico/cryder/, Unknown, Platform, 2.8, null, null, null, null
SwissBorg, swissborg, https://www.trackico.io/ico/swissborg/, Trading, Cryptocurrency, 4.8, null, null, 2017-12-07T00:00:00Z, 2018-01-10T00:00:00Z
Smartlands, smartlands, https://www.trackico.io/ico/smartlands/, Trading, Trading, 3.3, null, null, null, null
TrueDonate, truedonate, https://www.trackico.io/ico/truedonate/, Unknown, Platform, 1.9, null, null, null, null
Blockchain Programmatic Corporation, blockchain-programmatic-corporation, https://www.trackico.io/ico/blockchain-programmatic-corporation/, Unknown, Other, 1.7, null, null, null, null
SISA, sisa, https://www.trackico.io/ico/sisa/, Trading, Business, 3.5, null, null, 2017-11-20T00:00:00Z, 2017-12-20T00:00:00Z
Bitcomo, bitcomo, https://www.trackico.io/ico/bitcomo/, Closed, Other, 1.9, null, null, 2017-10-18T00:00:00Z, 2017-10-19T00:00:00Z
MiniApps, miniapps, https://www.trackico.io/ico/miniapps/, Unknown, Platform, 3.0, null, null, null, null
LoopIn, loopin, https://www.trackico.io/ico/loopin/, Unknown, Other, 1.7, null, null, null, null
Waltix, waltix, https://www.trackico.io/ico/waltix/, Unknown, Games & Entertainment, 3.1, null, null, null, null
CruCoins, crucoins, https://www.trackico.io/ico/crucoins/, Unknown, Social Media, 1.5, null, null, null, null
Dragonchain, dragonchain, https://www.trackico.io/ico/dragonchain/, Trading, Platform, 4.4, null, null, 2017-10-02T12:00:00Z, 2017-11-01T12:00:00Z
RegalCoin, regalcoin, https://www.trackico.io/ico/regalcoin/, Trading, Cryptocurrency, 2.0, null, null, null, null
Planes Cloud, planes-cloud, https://www.trackico.io/ico/planes-cloud/, Unknown, Other, 1.1, null, null, null, null
ZrCoin, zrcoin, https://www.trackico.io/ico/zrcoin/, Trading, Cryptocurrency, 3.0, null, null, 2017-05-11T12:00:00Z, 2017-06-09T12:00:00Z
FundCoin, fundcoin, https://www.trackico.io/ico/fundcoin/, Closed, Other, 2.2, null, null, 2017-10-30T03:00:00Z, 2017-11-30T12:00:00Z
Git Money, git-money, https://www.trackico.io/ico/git-money/, Unknown, Internet, 1.1, null, null, null, null
Wagerr, wagerr, https://www.trackico.io/ico/wagerr/, Trading, Platform, 3.1, null, null, 2017-06-01T12:00:00Z, 2017-06-25T12:00:00Z
LangPie, langpie, https://www.trackico.io/ico/langpie/, Closed, Other, 2.8, null, null, 2017-09-28T12:00:00Z, 2017-11-02T17:00:00Z
BioCoin, biocoin, https://www.trackico.io/ico/biocoin/, Trading, Other, 3.1, null, null, 2017-11-01T00:00:00Z, 2018-02-18T00:00:00Z
TrueBit, truebit, https://www.trackico.io/ico/truebit/, Unknown, Software, 3.5, null, null, null, null
Ripio Credit Network, ripio-credit-network, https://www.trackico.io/ico/ripio-credit-network/, Trading, Finances, 4.1, null, null, 2017-10-17T12:00:00Z, 2017-11-05T12:00:00Z
Ahoolee, ahoolee, https://www.trackico.io/ico/ahoolee/, Closed, Trading, 4.1, null, null, 2017-08-28T10:00:00Z, 2017-09-11T10:00:00Z
ARNA Panacea, arna-panacea, https://www.trackico.io/ico/arna-panacea/, Closed, Health & Medicine, 4.1, null, null, 2017-12-15T12:00:00Z, 2018-02-10T12:00:00Z
Incent, incent, https://www.trackico.io/ico/incent/, Trading, Cryptocurrency, 3.1, null, null, 2016-10-01T04:00:00Z, 2017-01-04T15:00:00Z
Bitindia, bitindia, https://www.trackico.io/ico/bitindia/, Closed, Platform, 4.6, null, null, 2017-10-11T12:00:00Z, 2017-12-11T12:00:00Z
Maecenas, maecenas, https://www.trackico.io/ico/maecenas/, Trading, Platform, 3.9, null, null, 2017-09-05T00:00:00Z, 2017-10-07T23:59:59Z
SwishCoin, swishcoin, https://www.trackico.io/ico/swishcoin/, Unknown, Other, 1.3, null, null, null, null
DMarket, dmarket, https://www.trackico.io/ico/dmarket/, Closed, Games & Entertainment, 4.6, null, null, 2017-11-14T19:00:00Z, 2017-11-28T19:00:00Z
Wings, wings, https://www.trackico.io/ico/wings/, Trading, Platform, 3.1, null, null, null, null
EcoBit, ecobit, https://www.trackico.io/ico/ecobit/, Trading, Other, 3.5, null, null, 2017-04-09T15:00:00Z, 2017-06-15T15:00:00Z
Hivemind, hivemind, https://www.trackico.io/ico/hivemind/, Unknown, Internet, 2.2, null, null, null, null
MobileGo, mobilego, https://www.trackico.io/ico/mobilego/, Trading, Other, 3.5, null, null, 2017-04-25T16:00:00Z, 2017-05-24T16:00:00Z
Liberstad, liberstad, https://www.trackico.io/ico/liberstad/, Unknown, Other, 1.7, null, null, null, null
Aether United, aether-united, https://www.trackico.io/ico/aether-united/, Unknown, Fitness, 2.6, null, null, null, null
BlockCAT, blockcat, https://www.trackico.io/ico/blockcat/, Trading, Platform, 4.3, null, null, 2017-07-15T23:00:00Z, 2017-08-15T03:00:00Z
Hash Rush, hash-rush, https://www.trackico.io/ico/hash-rush/, Closed, Games & Entertainment, 3.7, null, null, 2017-09-20T20:00:00Z, 2017-10-20T20:00:00Z
BitClave, bitclave, https://www.trackico.io/ico/bitclave/, Trading, Internet, 5.0, null, null, 2017-11-29T12:00:00Z, 2017-11-29T00:00:00Z
Snip, snip, https://www.trackico.io/ico/snip/, Closed, Social Media, 4.3, null, null, 2017-09-29T23:00:00Z, 2017-10-28T23:00:00Z
Streamr, streamr, https://www.trackico.io/ico/streamr/, Trading, Cryptocurrency, 3.3, null, null, null, null
TransActive Grid, transactive-grid, https://www.trackico.io/ico/transactive-grid/, Unknown, Other, 1.5, null, null, null, null
Agrello, agrello, https://www.trackico.io/ico/agrello/, Trading, Platform, 4.1, null, null, 2017-07-16T16:00:00Z, 2017-08-17T14:59:59Z
Blockchain Capital Fund, blockchain-capital-fund, https://www.trackico.io/ico/blockchain-capital-fund/, Trading, Business, 3.1, null, null, 2017-04-10T00:00:00Z, 2017-04-10T23:59:59Z
CyberTrust, cybertrust, https://www.trackico.io/ico/cybertrust/, Closed, Finance, 4.6, 2017-11-29T12:00:00Z, 2017-12-03T00:00:00Z, 2017-12-05T00:00:00Z, 2018-01-05T00:00:00Z
Bugu, bugu, https://www.trackico.io/ico/bugu/, Unknown, Other, 1.9, null, null, null, null
Boardroom, boardroom, https://www.trackico.io/ico/boardroom/, Unknown, Other, 1.3, null, null, null, null
Share Estate, share-estate, https://www.trackico.io/ico/share-estate/, Unknown, Other, 1.3, null, null, null, null
AirSwap, airswap, https://www.trackico.io/ico/airswap/, Trading, Other, 3.3, null, null, 2017-10-01T12:00:00Z, 2017-10-12T12:00:00Z
Sharpe Capital, sharpe-capital, https://www.trackico.io/ico/sharpe-capital/, Trading, Software, 4.4, null, null, 2017-11-13T14:00:00Z, 2018-02-04T03:00:00Z
COMSA, comsa, https://www.trackico.io/ico/comsa/, Trading, Platform, 3.3, null, null, 2017-10-02T05:00:00Z, 2017-11-06T05:00:00Z
Vega, vega, https://www.trackico.io/ico/vega/, Unknown, Internet, 3.0, null, null, null, null
Datum, datum, https://www.trackico.io/ico/datum/, Trading, Platform, 4.1, null, null, 2017-10-29T13:00:00Z, 2017-11-29T13:00:00Z
Farad, farad, https://www.trackico.io/ico/farad/, Trading, Ecology, 3.7, null, null, 2017-10-01T00:00:00Z, 2017-10-31T23:00:00Z
Hong Coin, hong-coin, https://www.trackico.io/ico/hong-coin/, Unknown, Other, 1.7, null, null, null, null
Zephyr, zephyr, https://www.trackico.io/ico/zephyr/, Unknown, Other, 0.9, null, null, null, null
Horyzon, horyzon, https://www.trackico.io/ico/horyzon/, Unknown, Other, 1.5, null, null, null, null
Zenome, zenome, https://www.trackico.io/ico/zenome/, Ongoing, Health & Medicine, 4.4, null, null, 2018-03-09T21:00:00Z, 2018-05-18T21:00:00Z
Zloadr, zloadr, https://www.trackico.io/ico/zloadr/, Closed, Cryptocurrency, 3.7, null, null, 2017-09-30T12:00:00Z, 2017-10-31T12:00:00Z
BlockStarter, blockstarter, https://www.trackico.io/ico/blockstarter/, Unknown, Other, 1.9, null, null, null, null
Open Longevity, open-longevity, https://www.trackico.io/ico/open-longevity/, Closed, Health & Medicine, 3.7, null, null, 2017-10-10T00:00:00Z, 2017-12-10T23:00:00Z
Airporn, airporn, https://www.trackico.io/ico/airporn/, Unknown, Other, 1.5, null, null, null, null
Tao Network, tao-network, https://www.trackico.io/ico/tao-network/, Trading, Other, 1.5, null, null, null, null
XRONOS, xronos, https://www.trackico.io/ico/xronos/, Closed, Games & Entertainment, 2.8, 2017-09-21T17:00:00Z, 2017-10-21T09:00:00Z, 2017-11-21T09:00:00Z, 2017-12-21T09:00:00Z
XRED, xred, https://www.trackico.io/ico/xred/, Unknown, Other, 1.9, null, null, null, null
